"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Amstelveen";"||Totaal binnenwater";"ha";"295"
"Amstelveen";"||Totaal buitenwater";"ha";""
"Amsterdam";"Totale oppervlakte";"ha";"21949"
"Amsterdam";"Totaal verkeersterrein";"ha";"1411"
"Amsterdam";"||Totaal bebouwd terrein";"ha";"8033"
"Amsterdam";"||Totaal semi-bebouwd terrein";"ha";"1184"
"Amsterdam";"Bouwterrein";"ha";"1010"
"Amsterdam";"||Totaal recreatieterrein";"ha";"2697"
"Amsterdam";"||Totaal agrarisch terrein";"ha";"2711"
"Amsterdam";"||Totaal  bos en open natuurlijk terrein";"ha";"515"
"Amsterdam";"||Totaal binnenwater";"ha";"5399"
"Amsterdam";"||Totaal buitenwater";"ha";""
"Andijk";"Totale oppervlakte";"ha";""
"Andijk";"Totaal verkeersterrein";"ha";""
"Andijk";"||Totaal bebouwd terrein";"ha";""
"Andijk";"||Totaal semi-bebouwd terrein";"ha";""
"Andijk";"Bouwterrein";"ha";""
"Andijk";"||Totaal recreatieterrein";"ha";""
"Andijk";"||Totaal agrarisch terrein";"ha";""
"Andijk";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Andijk";"||Totaal binnenwater";"ha";""
"Andijk";"||Totaal buitenwater";"ha";""
"Angerlo";"Totale oppervlakte";"ha";""
"Angerlo";"Totaal verkeersterrein";"ha";""
"Angerlo";"||Totaal bebouwd terrein";"ha";""
"Angerlo";"||Totaal semi-bebouwd terrein";"ha";""
"Angerlo";"Bouwterrein";"ha";""
"Angerlo";"||Totaal recreatieterrein";"ha";""
"Angerlo";"||Totaal agrarisch terrein";"ha";""
"Angerlo";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Angerlo";"||Totaal binnenwater";"ha";""
"Angerlo";"||Totaal buitenwater";"ha";""
"Anloo";"Totale oppervlakte";"ha";""
"Anloo";"Totaal verkeersterrein";"ha";""
"Anloo";"||Totaal bebouwd terrein";"ha";""
"Anloo";"||Totaal semi-bebouwd terrein";"ha";""
"Anloo";"Bouwterrein";"ha";""
"Anloo";"||Totaal recreatieterrein";"ha";""
"Anloo";"||Totaal agrarisch terrein";"ha";""
"Anloo";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Anloo";"||Totaal binnenwater";"ha";""
"Anloo";"||Totaal buitenwater";"ha";""
"Anna Paulowna";"Totale oppervlakte";"ha";""
"Anna Paulowna";"Totaal verkeersterrein";"ha";""
"Anna Paulowna";"||Totaal bebouwd terrein";"ha";""
"Anna Paulowna";"||Totaal semi-bebouwd terrein";"ha";""
"Anna Paulowna";"Bouwterrein";"ha";""
"Anna Paulowna";"||Totaal recreatieterrein";"ha";""
"Anna Paulowna";"||Totaal agrarisch terrein";"ha";""
"Anna Paulowna";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Anna Paulowna";"||Totaal binnenwater";"ha";""
"Anna Paulowna";"||Totaal buitenwater";"ha";""
"Apeldoorn";"Totale oppervlakte";"ha";"34115"
"Apeldoorn";"Totaal verkeersterrein";"ha";"987"
"Apeldoorn";"||Totaal bebouwd terrein";"ha";"3818"
"Apeldoorn";"||Totaal semi-bebouwd terrein";"ha";"218"
"Apeldoorn";"Bouwterrein";"ha";"138"
"Apeldoorn";"||Totaal recreatieterrein";"ha";"1107"
"Apeldoorn";"||Totaal agrarisch terrein";"ha";"8323"
"Apeldoorn";"||Totaal  bos en open natuurlijk terrein";"ha";"19537"
"Apeldoorn";"||Totaal binnenwater";"ha";"125"
"Apeldoorn";"||Totaal buitenwater";"ha";""
"Appingedam";"Totale oppervlakte";"ha";"2458"
"Appingedam";"Totaal verkeersterrein";"ha";"111"
"Appingedam";"||Totaal bebouwd terrein";"ha";"312"
"Appingedam";"||Totaal semi-bebouwd terrein";"ha";"59"
"Appingedam";"Bouwterrein";"ha";"48"
"Appingedam";"||Totaal recreatieterrein";"ha";"53"
"Appingedam";"||Totaal agrarisch terrein";"ha";"1783"
